predict_price,real_price
11.0852,20.4
12.3917,22.2
13.791,24.0
12.1802,41.3
10.2851,26.2
10.0867,26.1
9.862,22.0
9.3322,21.9
7.2873,21.9
8.1248,22.0
9.9773,21.9
9.0208,21.9
7.6406,21.6
8.0077,21.0
8.7361,21.2
8.9781,21.0
7.0656,19.0
7.6972,18.9
7.5368,18.3
6.6405,17.8
5.2843,18.0
6.6009,16.4
7.8847,15.2
6.5709,13.2
5.6219,12.0
6.4108,11.4
7.0199,11.3
6.9073,10.9
5.656,9.0
7.3965,8.8
6.821,8.0
6.4994,7.7
5.8484,6.0
7.2347,4.1
7.8745,3.6
7.1143,2.0
6.4248,23.9
6.8315,8.6
7.7174,8.6
7.963,8.7
7.3959,23.7
8.0915,8.7
8.9797,2.0
10.9872,2.0
10.3684,9.5
9.9356,8.7
11.4093,2.1
12.2133,2.0
13.2749,9.5
12.8486,10.1
14.2904,2.0
15.9656,0.0
15.8108,0.1
16.347,12.7
17.8865,8.8
18.3647,8.8
16.5619,23.3
16.3121,22.5
15.3035,23.7
15.1522,24.2
14.9838,24.3
14.9097,22.8
14.7603,22.8
15.6409,22.8
15.4089,24.3
14.4553,13.6
14.8487,24.2
14.3422,24.3
12.143,24.6
11.0647,28.8
11.3742,29.0
10.6217,24.2
10.1737,29.0
9.4883,33.5
10.9137,33.5
11.1857,24.2
10.6937,13.6
11.2177,2.9
12.5833,0.8
10.5283,0.9
8.8211,6.4
8.1949,6.4
8.8867,12.5
8.6171,2.2
8.489,12.6
7.7981,1.3
8.7318,0.9
9.6553,0.8
8.8464,0.3
7.7374,0.0
9.2088,2.7
8.299,1.7
7.8961,9.5
7.1072,1.7
8.1552,-1.8
7.8168,1.6
8.1823,2.7
7.7344,1.5
8.2592,0.0
8.7669,1.6
7.9714,7.7
7.6537,10.8
7.8541,0.0
7.6571,2.7
6.9473,3.7
7.9771,2.8
7.6284,2.7
8.3265,2.4
8.4568,-1.6
8.7093,9.1
9.5872,9.2
9.214,10.2
9.2914,10.2
9.786,13.9
9.6984,14.5
8.927,14.6
9.0622,17.1
8.7474,1.2
10.4202,-6.4
10.0755,10.7
10.2876,0.9
10.2722,1.0
14.0391,4.2
14.5767,10.7
13.6381,13.0
13.1788,14.4
14.1437,16.7
11.7463,9.0
12.0997,9.1
10.6954,9.1
12.8086,9.0
11.5756,1.2
11.2124,1.1
9.6525,1.0
11.1818,4.7
11.0606,4.7
10.1384,5.5
9.6356,11.2
8.9147,11.3
7.874,11.3
8.6847,4.7
8.1848,2.8
9.5288,7.0
9.0447,13.0
9.3861,6.6
8.6009,6.7
11.2627,6.6
10.5747,2.8
9.7292,1.8
9.2233,13.1
8.0992,10.6
9.7825,19.3
